"","x"
"1439",1147
"1440",11470
"1441",11471
"1442",11472
"1443",11473
"1444",11474
"1445",11475
"1446",11476
"1447",11477
"1448",11478
"1449",11479
"1450",1148
"1451",11480
"1452",11481
"1453",11482
"1454",11483
"1455",11484
"1456",11485
"1457",11486
"1458",11487
"1459",11488
"1460",11489
"1461",1149
"1462",11490
"1463",11491
"1464",11492
"1465",11493
"1466",11494
"1467",11495
"1468",11496
"1469",11497
"1470",11498
"1471",11499
"1472",1150
"1473",11500
"1474",11501
"1475",11502
"1476",11503
"1477",11504
"1478",11505
"1479",11506
"1480",11507
"1481",11508
"1482",11509
"1483",1151
"1484",11510
"1485",11511
"1486",11512
"1487",11513
"1488",11514
"1489",11515
"1490",11516
"1491",11517
"1492",11518
"1493",11519
"1494",1152
"1495",11520
"1496",11521
"1497",11522
"1498",11523
"1499",11524
"1500",11525
"1501",11526
"1502",11527
"1503",11528
"1504",11529
"1505",1153
"1506",11530
"1507",11531
"1508",11532
"1509",11533
"1510",11534
"1511",11535
"1512",11536
"1513",11537
"1514",11538
"1515",11539
"1516",1154
"1517",11540
"1518",11541
"1519",11542
"1520",11543
"1521",11544
"1522",11545
"1523",11546
"1524",11547
"1525",11548
"1526",11549
"1527",1155
"1528",11550
"1529",11551
"1530",11552
"1531",11553
"1532",11554
"1533",11555
"1534",11556
"1535",11557
"1536",11558
"1537",11559
"1538",1156
"1539",11560
"1540",11561
"1541",11562
"1542",11563
"1543",11564
"1544",11565
"1545",11566
"1546",11567
"1547",11568
"1548",11569
"1549",1157
"1550",11570
"1551",11571
"1552",11572
"1553",11573
"1554",11574
"1555",11575
"1556",11576
"1557",11577
"1558",11578
"1559",11579
"1560",1158
"1561",11580
"1562",11581
"1563",11582
"1564",11583
"1565",11584
"1566",11585
"1567",11586
"1568",11587
"1569",11588
"1570",11589
"1571",1159
"1572",11590
"1573",11591
"1574",11592
"1575",11593
"1576",11594
"1577",11595
"1578",11596
"1579",11597
"1580",11598
"1581",11599
"1582",1160
"1583",11600
"1584",11601
"1585",11602
"1586",11603
"1587",11604
"1588",11605
"1589",11606
"1590",11607
"1591",11608
"1592",11609
"1593",1161
"1594",11610
"1595",11611
"1596",11612
"1597",11613
"1598",11614
"1599",11615
"1600",11616
"1601",11617
"1602",11618
"1603",11619
"1604",1162
"1605",11620
"1606",11622
"1607",11623
"1608",11624
"1609",11625
"1610",11626
"1611",11627
"1612",11628
"1613",11629
"1614",1163
"1615",11630
"1616",11631
"1617",11632
"1618",11633
"1619",11634
"1620",11635
"1621",11636
"1622",11637
"1623",11638
"1624",11639
"1625",1164
"1626",11640
"1627",11641
"1628",11642
"1629",11643
"1630",11644
"1631",11645
"1632",11646
"1633",11647
"1634",11648
"1635",11649
"1636",1165
"1637",11650
"1638",11651
"1639",11652
"1640",11653
"1641",11654
"1642",11655
"1643",11656
"1644",11657
"1645",11658
"1646",1166
"1647",11660
"1648",11661
"1649",11662
"1650",11663
"1651",11664
"1652",11665
"1653",11666
"1654",11667
"1655",11668
"1656",11669
"1657",11670
"1658",11671
"1659",11672
"1660",11673
"1661",11675
"1662",11676
"1663",11677
"1664",11685
"1665",1169
"1666",11691
"1667",11692
"1668",11695
"1669",11696
"1670",117
"1671",1170
"1672",11702
"1673",11706
"1674",11707
"1675",11709
"1676",1171
"1677",11713
"1678",11714
"1679",11715
"1680",11716
"1681",11717
"1682",11718
"1683",11719
"1684",1172
"1685",11720
"1686",11721
"1687",11722
"1688",11723
"1689",11724
"1690",11725
"1691",11726
"1692",11727
"1693",11728
"1694",11729
"1695",1173
"1696",11730
"1697",11731
"1698",11732
"1699",11733
"1700",11734
"1701",11735
"1702",11736
"1703",11737
"1704",11738
"1705",11739
"1706",1174
"1707",11740
"1708",11741
"1709",11742
"1710",11743
"1711",11744
"1712",11745
"1713",11746
"1714",11747
"1715",11748
"1716",11749
"1717",1175
"1718",11750
"1719",11751
"1720",11752
"1721",11753
"1722",11754
"1723",11755
"1724",11756
"1725",11757
"1726",11758
"1727",11759
"1728",1176
"1729",11760
"1730",11761
"1731",11762
"1732",11763
"1733",11764
"1734",11765
"1735",11766
"1736",11767
"1737",11768
"1738",11769
"1739",1177
"1740",11770
"1741",11771
"1742",11772
"1743",11773
"1744",11774
"1745",11775
"1746",11776
"1747",11777
"1748",11778
"1749",11779
"1750",1178
"1751",11780
"1752",11781
"1753",11782
"1754",11783
"1755",11784
"1756",11785
"1757",11786
"1758",11787
"1759",11788
"1760",11789
"1761",1179
"1762",11790
"1763",11791
"1764",11792
"1765",11793
"1766",11794
"1767",11795
"1768",11796
"1769",11797
"1770",11798
"1771",11799
"1772",118
"1773",1180
"1774",11800
"1775",11801
"1776",11802
"1777",11803
"1778",11804
"1779",11805
"1780",11806
"1781",11807
"1782",11808
"1783",11809
"1784",1181
"1785",11810
"1786",11811
"1787",11812
"1788",11813
"1789",11814
"1790",11815
"1791",11816
"1792",11817
"1793",11818
"1794",11819
"1795",1182
"1796",11820
"1797",11821
"1798",11822
"1799",11823
"1800",11824
"1801",11825
"1802",11826
"1803",11827
"1804",11828
"1805",11829
"1806",1183
"1807",11830
"1808",11831
"1809",11832
"1810",11833
"1811",11834
"1812",11835
"1813",11836
"1814",11837
"1815",11838
"1816",11839
"1817",1184
"1818",11840
"1819",11841
"1820",11842
"1821",11843
"1822",11844
"1823",11845
"1824",11846
"1825",11847
"1826",11848
"1827",11849
"1828",1185
"1829",11850
"1830",11851
"1831",11852
"1832",11853
"1833",11854
"1834",11855
"1835",11856
"1836",11857
"1837",11858
"1838",11859
"1839",1186
"1840",11860
"1841",11861
"1842",11862
"1843",11863
"1844",11864
"1845",11865
"1846",11866
"1847",11867
"1848",11868
"1849",11869
"1850",1187
"1851",11870
"1852",11871
"1853",11872
"1854",11873
"1855",11874
"1856",11875
"1857",11876
"1858",11877
"1859",11878
"1860",11879
"1861",1188
"1862",11880
"1863",11881
"1864",11883
"1865",11884
"1866",11885
"1867",11886
"1868",11887
"1869",11888
"1870",11889
"1871",1189
"1872",11890
"1873",11891
"1874",11892
"1875",11893
"1876",11894
"1877",11895
"1878",11896
"1879",11897
"1880",11898
"1881",11899
"1882",119
"1883",1190
"1884",11900
"1885",11901
"1886",11902
"1887",11903
"1888",11904
"1889",11905
"1890",11906
"1891",11907
"1892",11908
"1893",11909
"1894",1191
"1895",11910
"1896",11911
"1897",11912
"1898",11913
"1899",11914
"1900",11915
"1901",11916
"1902",11917
"1903",11918
"1904",11919
"1905",1192
"1906",11920
"1907",11921
"1908",11922
"1909",11923
"1910",11924
"1911",11925
"1912",11926
"1913",11927
"1914",11928
"1915",11929
"1916",1193
"1917",11930
"1918",11931
"1919",11932
"1920",11933
"1921",11934
"1922",11935
"1923",11936
"1924",11937
"1925",11938
"1926",11939
"1927",1194
"1928",11940
"1929",11941
"1930",11942
"1931",11943
"1932",11944
"1933",11945
"1934",11946
"1935",11947
"1936",11948
"1937",1195
"1938",11950
"1939",11951
"1940",11952
"1941",11953
"1942",11954
"1943",11955
"1944",11956
"1945",11957
"1946",11958
"1947",11959
"1948",1196
"1949",11960
"1950",11961
"1951",11963
"1952",11964
"1953",11965
"1954",11966
"1955",11967
"1956",11968
"1957",11969
"1958",1197
"1959",11970
"1960",11971
"1961",11972
"1962",11973
"1963",11974
"1964",11975
"1965",11976
"1966",11977
"1967",1198
"1968",11981
"1969",11982
"1970",11983
"1971",11984
"1972",11985
"1973",11986
"1974",11987
"1975",11988
"1976",11989
"1977",1199
"1978",11990
"1979",11991
"1980",11992
"1981",11993
"1982",11994
"1983",11995
"1984",11996
"1985",11997
"1986",11998
"1987",11999
"1988",12
"1989",120
"1990",1200
"1991",12000
"1992",12001
"1993",12002
"1994",12003
"1995",12004
"1996",12005
"1997",12006
"1998",12007
"1999",12009
"2000",1201
"2001",12010
"2002",12011
"2003",12012
"2004",12013
"2005",12014
"2006",12015
"2007",12016
"2008",12017
"2009",12018
"2010",12019
"2011",1202
"2012",12020
"2013",12021
"2014",12022
"2015",12023
"2016",12024
"2017",12026
"2018",12027
"2019",12028
"2020",12029
"2021",1203
"2022",12030
"2023",12032
"2024",12033
"2025",12034
"2026",12035
"2027",12036
"2028",12037
"2029",12038
"2030",12039
"2031",1204
"2032",12040
"2033",12041
"2034",12042
"2035",12043
"2036",12044
"2037",12045
"2038",12046
"2039",12048
"2040",12049
"2041",1205
"2042",12050
"2043",12051
"2044",12052
"2045",12053
"2046",12054
"2047",12055
"2048",12056
"2049",12057
"2050",12058
"2051",12059
"2052",1206
"2053",12060
"2054",12061
"2055",12062
"2056",12063
"2057",12064
"2058",12065
"2059",12066
"2060",12068
"2061",12070
"2062",12071
"2063",12072
"2064",12074
"2065",12075
"2066",12076
"2067",12077
"2068",12079
"2069",1208
"2070",12080
"2071",12081
"2072",12082
"2073",12083
"2074",12084
"2075",12085
"2076",12086
"2077",12087
"2078",12088
"2079",12089
"2080",12090
"2081",12091
"2082",12092
"2083",12093
"2084",12094
"2085",12095
"2086",12096
"2087",12097
"2088",12098
"2089",12099
"2090",121
"2091",1210
"2092",12100
"2093",12101
"2094",12102
"2095",12103
"2096",12104
"2097",12105
"2098",12106
"2099",12107
"2100",12108
"2101",12109
"2102",1211
"2103",12110
"2104",12111
"2105",12112
"2106",12113
"2107",12114
"2108",12115
"2109",12116
"2110",12117
"2111",12118
"2112",12119
"2113",12120
"2114",12121
"2115",12123
"2116",12124
"2117",12125
"2118",12126
"2119",12127
"2120",12128
"2121",12129
"2122",12130
"2123",12131
"2124",12132
"2125",12133
"2126",12134
"2127",12135
"2128",12136
"2129",12137
"2130",12138
"2131",12139
"2132",12140
"2133",12141
"2134",12142
"2135",12143
"2136",12144
"2137",12145
"2138",12146
"2139",12147
"2140",12148
"2141",12149
"2142",1215
